term_str,n,n_chars,p,i,max_pos,max_pos_group,stem_porter,stop,dfidf,anger,anticipation,disgust,fear,joy,negative,positive,sadness,surprise,trust,sentiment
danger,1,6,4.826813916669885e-06,17.660497360248794,NNP,NN,danger,0,2.584962500721156,0,0,0,1,0,1,0,1,0,0,-1
dangerous,5,9,2.4134069583349424e-05,15.338569265361432,JJ,JJ,danger,0,3.169925001442312,0,0,0,1,0,1,0,0,0,0,-1
dare,15,4,7.240220875004827e-05,13.753606764640276,VBP,VB,dare,0,2.3398500028846247,0,1,0,0,0,0,0,0,0,1,0
darkened,1,8,4.826813916669885e-06,17.660497360248794,JJ,JJ,darken,0,2.584962500721156,0,0,0,1,0,1,0,1,0,0,-1
darkness,27,8,0.00013032397575,12.905609858085326,NN,NN,dark,0,1.315172029168969,1,0,0,1,0,1,0,1,0,0,-1
darling,43,7,0.0002075529984168,12.234232605546698,NNP,NN,darl,0,0.0,0,0,0,0,1,0,1,0,0,1,1
daughter,15,8,7.240220875004827e-05,13.753606764640276,NN,NN,daughter,0,2.3398500028846247,0,0,0,0,1,0,1,0,0,0,1
dawn,30,4,0.0001448044175,12.753606764640276,NN,NN,dawn,0,2.3398500028846247,0,1,0,0,1,0,1,0,1,1,1
deadly,1,6,4.826813916669885e-06,17.660497360248794,NN,NN,deadli,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
deal,11,4,5.309495308336873e-05,14.201065741611496,NN,NN,deal,0,2.3398500028846247,0,1,0,0,1,0,1,0,1,1,1
death,10,5,4.826813916669885e-05,14.338569265361432,NN,NN,death,0,2.3398500028846247,1,1,1,1,0,1,0,1,1,0,-1
debt,12,4,5.792176700003861e-05,14.07553485952764,NN,NN,debt,0,3.169925001442312,0,0,0,0,0,1,0,1,0,0,-1
deceive,5,7,2.4134069583349424e-05,15.338569265361432,VB,VB,deceiv,0,3.169925001442312,1,0,1,0,0,1,0,1,0,0,-1
deceiving,1,9,4.826813916669885e-06,17.660497360248794,VBG,VB,deceiv,0,2.584962500721156,0,0,0,0,0,1,0,0,0,1,-1
defend,2,6,9.65362783333977e-06,16.660497360248794,VB,VB,defend,0,3.169925001442312,0,0,0,1,0,0,1,0,0,0,1
defense,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,defens,0,2.584962500721156,1,1,0,1,0,0,1,0,0,0,1
defunct,1,7,4.826813916669885e-06,17.660497360248794,NNP,NN,defunct,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
defy,4,4,1.930725566667954e-05,15.660497360248796,NN,NN,defi,0,3.169925001442312,1,0,0,1,0,1,0,1,1,0,-1
degrading,3,9,1.4480441750009651e-05,16.07553485952764,VBG,VB,degrad,0,2.584962500721156,0,0,1,1,0,1,0,1,0,0,-1
delay,4,5,1.930725566667954e-05,15.660497360248796,NN,NN,delay,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
delicious,3,9,1.4480441750009651e-05,16.07553485952764,JJ,JJ,delici,0,3.169925001442312,0,0,0,0,1,0,1,0,0,0,1
delight,13,7,6.27485809167085e-05,13.960057642107705,NN,NN,delight,0,2.3398500028846247,0,1,0,0,1,0,1,0,0,0,1
delighted,1,9,4.826813916669885e-06,17.660497360248794,VBD,VB,delight,0,2.584962500721156,0,1,0,0,1,0,1,0,1,0,1
delightful,2,10,9.65362783333977e-06,16.660497360248794,JJ,JJ,delight,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
delusion,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,delus,0,2.584962500721156,1,0,0,1,0,1,0,1,0,0,-1
demise,1,6,4.826813916669885e-06,17.660497360248794,JJ,JJ,demis,0,2.584962500721156,0,0,0,1,0,1,0,1,0,0,-1
deny,11,4,5.309495308336873e-05,14.201065741611496,VB,NN,deni,0,2.3398500028846247,1,0,0,0,0,1,0,0,0,0,-1
denying,3,7,1.4480441750009651e-05,16.07553485952764,NN,NN,deni,0,2.584962500721156,0,1,0,0,0,1,0,0,0,0,-1
depressing,1,10,4.826813916669885e-06,17.660497360248794,VBG,VB,depress,0,2.584962500721156,0,0,1,0,0,1,0,1,0,0,-1
depression,1,10,4.826813916669885e-06,17.660497360248794,NN,NN,depress,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
depth,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,depth,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
desert,14,6,6.757539483337838e-05,13.85314243819119,NN,NN,desert,0,2.3398500028846247,1,0,1,1,0,1,0,1,0,0,-1
deserve,4,7,1.930725566667954e-05,15.660497360248796,VB,VB,deserv,0,3.0,1,1,0,0,0,0,1,0,0,1,1
despair,3,7,1.4480441750009651e-05,16.07553485952764,NN,NN,despair,0,2.584962500721156,1,0,1,1,0,1,0,1,0,0,-1
destination,4,11,1.930725566667954e-05,15.660497360248796,NN,NN,destin,0,3.169925001442312,0,1,0,1,1,0,1,1,1,0,1
destroyed,2,9,9.65362783333977e-06,16.660497360248794,VBN,VB,destroy,0,2.584962500721156,1,0,0,1,0,1,0,1,0,0,-1
destruction,4,11,1.930725566667954e-05,15.660497360248796,NN,NN,destruct,0,3.169925001442312,1,0,0,0,0,1,0,0,0,0,-1
devil,7,5,3.378769741668919e-05,14.85314243819119,NN,NN,devil,0,1.315172029168969,1,1,1,1,0,1,0,1,0,0,-1
diamond,5,7,2.4134069583349424e-05,15.338569265361432,NN,NN,diamond,0,2.3398500028846247,0,0,0,0,1,0,1,0,0,0,1
diary,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,diari,0,3.169925001442312,0,0,0,0,1,0,1,0,0,1,1
dictionary,1,10,4.826813916669885e-06,17.660497360248794,NN,NN,dictionari,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
die,110,3,0.0005309495308336,10.879137646724136,VBP,VB,die,0,0.0,0,0,0,1,0,1,0,1,0,0,-1
dirt,2,4,9.65362783333977e-06,16.660497360248794,NN,NN,dirt,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
dirty,44,5,0.0002123798123334,12.201065741611496,NN,NN,dirti,0,1.315172029168969,0,0,1,0,0,1,0,0,0,0,-1
disagree,1,8,4.826813916669885e-06,17.660497360248794,VB,VB,disagre,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
disappoint,1,10,4.826813916669885e-06,17.660497360248794,VBP,VB,disappoint,0,2.584962500721156,1,0,1,0,0,1,0,1,0,0,-1
disconnect,1,10,4.826813916669885e-06,17.660497360248794,VBP,VB,disconnect,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
discreet,1,8,4.826813916669885e-06,17.660497360248794,RB,RB,discreet,0,2.584962500721156,0,1,0,0,0,0,1,0,0,0,1
discriminate,2,12,9.65362783333977e-06,16.660497360248794,VB,VB,discrimin,0,2.584962500721156,1,0,0,0,0,1,0,1,0,0,-1
disease,5,7,2.4134069583349424e-05,15.338569265361432,NN,NN,diseas,0,3.169925001442312,1,0,1,1,0,1,0,1,0,0,-1
disgrace,2,8,9.65362783333977e-06,16.660497360248794,NN,NN,disgrac,0,3.169925001442312,1,0,1,0,0,1,0,1,0,0,-1
distress,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,distress,0,2.584962500721156,1,0,1,1,0,1,0,1,1,0,-1
ditty,2,5,9.65362783333977e-06,16.660497360248794,JJ,JJ,ditti,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
divorce,1,7,4.826813916669885e-06,17.660497360248794,VB,VB,divorc,0,2.584962500721156,1,0,1,1,0,1,0,1,1,1,-1
doctor,19,6,9.17094644167278e-05,13.412569846805209,NN,NN,doctor,0,3.0,0,0,0,0,0,0,1,0,0,1,1
don,7,3,3.378769741668919e-05,14.85314243819119,NN,NN,don,1,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
doomed,1,6,4.826813916669885e-06,17.660497360248794,VBN,VB,doom,0,2.584962500721156,0,0,0,1,0,1,0,1,0,0,-1
doubt,18,5,8.688265050005793e-05,13.490572358806483,NN,NN,doubt,0,0.0,0,0,0,1,0,1,0,1,0,1,-1
dove,2,4,9.65362783333977e-06,16.660497360248794,NN,NN,dove,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
drown,2,5,9.65362783333977e-06,16.660497360248794,IN,IN,drown,0,2.584962500721156,0,0,0,1,0,1,0,1,0,0,-1
dull,2,4,9.65362783333977e-06,16.660497360248794,NN,NN,dull,0,3.169925001442312,0,0,0,0,0,1,0,1,0,0,-1
dying,11,5,5.309495308336873e-05,14.201065741611496,VBG,VB,die,0,1.315172029168969,1,0,1,1,0,1,0,1,0,0,-1
eager,2,5,9.65362783333977e-06,16.660497360248794,JJ,JJ,eager,0,2.584962500721156,0,1,0,0,1,0,1,0,1,1,1
ecstasy,5,7,2.4134069583349424e-05,15.338569265361432,JJ,JJ,ecstasi,0,2.584962500721156,0,1,0,0,1,0,1,0,0,0,1
electric,27,8,0.00013032397575,12.905609858085326,JJ,JJ,electr,0,1.315172029168969,0,0,0,0,1,0,1,0,1,0,1
elite,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,elit,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
embarrass,1,9,4.826813916669885e-06,17.660497360248794,NNP,NN,embarrass,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
embrace,6,7,2.8960883500019303e-05,15.07553485952764,NN,NN,embrac,0,3.0,0,1,0,0,1,0,1,0,1,1,1
emergency,1,9,4.826813916669885e-06,17.660497360248794,NN,NN,emerg,0,2.584962500721156,0,0,0,1,0,1,0,1,1,0,-1
enchant,1,7,4.826813916669885e-06,17.660497360248794,VBP,VB,enchant,0,2.584962500721156,0,1,0,0,1,0,1,0,1,0,1
endless,4,7,1.930725566667954e-05,15.660497360248796,JJ,JJ,endless,0,3.0,1,0,0,1,1,1,1,1,0,1,0
enemy,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,enemi,0,3.169925001442312,1,0,1,1,0,1,0,0,0,0,-1
enjoy,3,5,1.4480441750009651e-05,16.07553485952764,VB,VB,enjoy,0,3.0,0,1,0,0,1,0,1,0,0,1,1
enlighten,1,9,4.826813916669885e-06,17.660497360248794,NNP,NN,enlighten,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
entertain,10,9,4.826813916669885e-05,14.338569265361432,VBP,VB,entertain,0,2.3398500028846247,0,0,0,0,1,0,1,0,0,0,1
equality,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,equal,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
erase,7,5,3.378769741668919e-05,14.85314243819119,VB,VB,eras,0,3.169925001442312,0,0,0,1,0,1,0,0,0,0,-1
erotic,1,6,4.826813916669885e-06,17.660497360248794,NN,NN,erot,0,2.584962500721156,0,1,0,0,1,1,1,0,1,1,0
escape,35,6,0.0001689384870834,12.531214343303828,NN,NN,escap,0,1.315172029168969,0,1,0,1,0,1,1,0,0,0,0
evil,4,4,1.930725566667954e-05,15.660497360248796,NN,NN,evil,0,3.0,1,0,1,1,0,1,0,1,0,0,-1
exalted,1,7,4.826813916669885e-06,17.660497360248794,VBN,VB,exalt,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
exchange,2,8,9.65362783333977e-06,16.660497360248794,NN,NN,exchang,0,3.169925001442312,0,0,0,0,0,0,1,0,0,1,1
excite,1,6,4.826813916669885e-06,17.660497360248794,VB,VB,excit,0,2.584962500721156,1,1,0,1,1,0,1,0,1,0,1
excited,3,7,1.4480441750009651e-05,16.07553485952764,JJ,JJ,excit,0,3.169925001442312,0,1,0,0,1,0,1,0,1,1,1
expect,3,6,1.4480441750009651e-05,16.07553485952764,VBP,VB,expect,0,3.169925001442312,0,1,0,0,0,0,1,0,1,1,1
experiment,1,10,4.826813916669885e-06,17.660497360248794,NN,NN,experi,0,2.584962500721156,0,1,0,0,0,0,0,0,1,0,0
explain,20,7,9.65362783333977e-05,13.338569265361432,VB,VB,explain,0,0.0,0,0,0,0,0,0,1,0,0,1,1
expose,2,6,9.65362783333977e-06,16.660497360248794,VBP,VB,expos,0,2.584962500721156,0,1,0,1,0,0,0,0,0,0,0
facts,4,5,1.930725566667954e-05,15.660497360248796,NN,NN,fact,0,3.169925001442312,0,0,0,0,0,0,1,0,0,1,1
failing,1,7,4.826813916669885e-06,17.660497360248794,VBG,VB,fail,0,2.584962500721156,1,1,0,1,0,1,0,1,0,0,-1
faith,16,5,7.722902266671815e-05,13.660497360248796,NN,NN,faith,0,1.315172029168969,0,1,0,0,1,0,1,0,0,1,1
faithful,2,8,9.65362783333977e-06,16.660497360248794,JJ,JJ,faith,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
faithless,1,9,4.826813916669885e-06,17.660497360248794,JJ,JJ,faithless,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
fall,119,4,0.0005743908560837,10.765679596940853,VB,VB,fall,0,0.0,0,0,0,0,0,1,0,1,0,0,-1
falling,37,7,0.0001785921149167,12.451043994619845,VBG,VB,fall,0,1.315172029168969,0,0,0,0,0,1,0,1,0,0,-1
falter,1,6,4.826813916669885e-06,17.660497360248794,VB,VB,falter,0,2.584962500721156,0,0,0,1,0,1,0,0,0,0,-1
familiar,1,8,4.826813916669885e-06,17.660497360248794,JJ,JJ,familiar,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
fancy,5,5,2.4134069583349424e-05,15.338569265361432,NN,NN,fanci,0,3.0,0,1,0,0,1,0,1,0,0,0,1
fat,4,3,1.930725566667954e-05,15.660497360248796,JJ,JJ,fat,0,3.0,0,0,1,0,0,1,0,1,0,0,-1
fate,7,4,3.378769741668919e-05,14.85314243819119,NN,NN,fate,0,1.315172029168969,0,1,0,0,0,1,0,0,0,0,-1
fault,25,5,0.0001206703479167,13.01664117047407,NN,NN,fault,0,1.315172029168969,0,0,0,0,0,1,0,1,0,0,-1
favorite,27,8,0.00013032397575,12.905609858085326,JJ,JJ,favorit,0,0.0,0,0,0,0,1,0,1,0,0,1,1
fear,33,4,0.0001592848592501,12.61610324089034,NN,NN,fear,0,0.0,1,0,0,1,0,1,0,0,0,0,-1
fearless,10,8,4.826813916669885e-05,14.338569265361432,NN,NN,fearless,0,2.584962500721156,0,0,0,1,0,0,1,0,0,0,1
feat,1,4,4.826813916669885e-06,17.660497360248794,NNP,NN,feat,0,2.584962500721156,0,1,0,0,1,0,1,0,1,0,1
fee,1,3,4.826813916669885e-06,17.660497360248794,NN,NN,fee,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
feeling,146,7,0.0007047148318338,10.470672801368778,NN,NN,feel,0,0.0,1,1,1,1,1,1,1,1,1,1,0
fell,23,4,0.0001110167200834,13.136935404191782,VBD,VB,fell,0,1.315172029168969,0,0,0,0,0,1,0,1,0,0,-1
fellow,1,6,4.826813916669885e-06,17.660497360248794,NN,NN,fellow,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
ferocious,1,9,4.826813916669885e-06,17.660497360248794,JJ,JJ,feroci,0,2.584962500721156,1,0,1,1,0,1,0,0,0,0,-1
fiend,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,fiend,0,2.584962500721156,1,0,1,1,0,1,0,0,0,0,-1
fierce,2,6,9.65362783333977e-06,16.660497360248794,NNP,NN,fierc,0,3.169925001442312,1,0,1,1,0,1,0,0,0,0,-1
fight,46,5,0.0002220334401668,12.136935404191782,VB,VB,fight,0,0.0,1,0,0,1,0,1,0,0,0,0,-1
fighting,6,8,2.8960883500019303e-05,15.07553485952764,VBG,VB,fight,0,2.3398500028846247,1,0,0,0,0,1,0,0,0,0,-1
finally,15,7,7.240220875004827e-05,13.753606764640276,RB,RB,final,0,0.0,0,1,1,0,1,0,1,0,1,1,1
fits,2,4,9.65362783333977e-06,16.660497360248794,NNS,NN,fit,0,3.169925001442312,1,0,0,0,0,1,0,0,0,0,-1
fleece,1,6,4.826813916669885e-06,17.660497360248794,VB,VB,fleec,0,2.584962500721156,1,0,1,0,0,1,0,1,0,0,-1
flu,1,3,4.826813916669885e-06,17.660497360248794,NN,NN,flu,0,2.584962500721156,0,0,0,1,0,1,0,0,0,0,-1
flying,5,6,2.4134069583349424e-05,15.338569265361432,VBG,VB,fli,0,2.584962500721156,0,0,0,1,0,0,1,0,0,0,1
food,9,4,4.344132525002896e-05,14.490572358806483,NN,NN,food,0,1.315172029168969,0,0,0,0,1,0,1,0,0,1,1
fool,61,4,0.0002944356489168,11.729760022685907,NN,NN,fool,0,0.0,0,0,1,0,0,1,0,0,0,0,-1
football,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,footbal,0,2.584962500721156,0,1,0,0,1,0,1,0,0,0,1
force,4,5,1.930725566667954e-05,15.660497360248796,VB,VB,forc,0,3.169925001442312,1,0,0,1,0,1,0,0,0,0,-1
foresee,1,7,4.826813916669885e-06,17.660497360248794,VBP,VB,forese,0,2.584962500721156,0,1,0,0,0,0,1,0,1,1,1
forgotten,4,9,1.930725566667954e-05,15.660497360248796,JJ,VB,forgotten,0,3.0,0,0,0,1,0,1,0,1,0,0,-1
forsake,4,7,1.930725566667954e-05,15.660497360248796,VB,VB,forsak,0,3.169925001442312,0,0,0,0,0,1,0,1,0,0,-1
fortune,9,7,4.344132525002896e-05,14.490572358806483,NN,NN,fortun,0,2.3398500028846247,0,1,0,0,1,0,1,0,1,1,1
foul,1,4,4.826813916669885e-06,17.660497360248794,NN,NN,foul,0,2.584962500721156,1,0,1,1,0,1,0,0,0,0,-1
found,118,5,0.000569564042167,10.777854310886951,VBD,VB,found,0,0.0,0,0,0,0,1,0,1,0,0,1,1
fragile,4,7,1.930725566667954e-05,15.660497360248796,NNP,NN,fragil,0,3.169925001442312,0,0,0,1,0,1,0,1,0,0,-1
frantic,1,7,4.826813916669885e-06,17.660497360248794,JJ,JJ,frantic,0,2.584962500721156,0,1,1,1,0,1,0,0,1,0,-1
freedom,3,7,1.4480441750009651e-05,16.07553485952764,NN,NN,freedom,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
freely,1,6,4.826813916669885e-06,17.660497360248794,NN,NN,freeli,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
friend,42,6,0.0002027261845001,12.268179937470034,NN,NN,friend,0,0.0,0,0,0,0,1,0,1,0,0,1,1
friendship,1,10,4.826813916669885e-06,17.660497360248794,NN,NN,friendship,0,2.584962500721156,0,0,0,0,1,0,1,0,0,1,1
frightened,1,10,4.826813916669885e-06,17.660497360248794,VBN,VB,frighten,0,2.584962500721156,0,0,0,1,0,1,0,0,1,0,-1
frown,19,5,9.17094644167278e-05,13.412569846805209,NN,NN,frown,0,3.0,0,0,0,0,0,1,0,1,0,0,-1
frustrate,1,9,4.826813916669885e-06,17.660497360248794,VBP,VB,frustrat,0,2.584962500721156,1,0,1,0,0,1,0,1,0,0,-1
frustrated,2,10,9.65362783333977e-06,16.660497360248794,JJ,JJ,frustrat,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
frustration,1,11,4.826813916669885e-06,17.660497360248794,NN,NN,frustrat,0,2.584962500721156,1,0,0,0,0,1,0,0,0,0,-1
fully,1,5,4.826813916669885e-06,17.660497360248794,RB,RB,fulli,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
fun,62,3,0.0002992624628335,11.70630104986192,NN,NN,fun,0,0.0,0,1,0,0,1,0,1,0,0,0,1
funk,7,4,3.378769741668919e-05,14.85314243819119,NN,NN,funk,0,3.169925001442312,0,0,0,0,0,1,0,1,0,0,-1
furious,1,7,4.826813916669885e-06,17.660497360248794,JJ,JJ,furiou,0,2.584962500721156,1,0,1,0,0,1,0,0,0,0,-1
fuse,5,4,2.4134069583349424e-05,15.338569265361432,NN,NN,fuse,0,3.169925001442312,0,0,0,0,0,0,1,0,0,1,1
fuss,4,4,1.930725566667954e-05,15.660497360248796,NN,NN,fuss,0,2.3398500028846247,1,0,0,0,0,1,0,1,0,0,-1
fussy,1,5,4.826813916669885e-06,17.660497360248794,JJ,JJ,fussi,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
gaby,3,4,1.4480441750009651e-05,16.07553485952764,NNP,NN,gabi,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
gain,1,4,4.826813916669885e-06,17.660497360248794,VB,VB,gain,0,2.584962500721156,0,1,0,0,1,0,1,0,0,0,1
gambling,1,8,4.826813916669885e-06,17.660497360248794,NN,NN,gambl,0,2.584962500721156,0,1,0,0,0,1,0,0,1,0,-1
gang,4,4,1.930725566667954e-05,15.660497360248796,NN,NN,gang,0,3.169925001442312,1,0,0,1,0,1,0,0,0,0,-1
garden,6,6,2.8960883500019303e-05,15.07553485952764,NN,NN,garden,0,2.3398500028846247,0,0,0,0,1,0,1,0,0,0,1
general,2,7,9.65362783333977e-06,16.660497360248794,NNP,NN,gener,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
gent,1,4,4.826813916669885e-06,17.660497360248794,NN,NN,gent,0,2.584962500721156,1,0,1,1,0,1,0,0,0,0,-1
gentleman,10,9,4.826813916669885e-05,14.338569265361432,NN,NN,gentleman,0,2.3398500028846247,0,0,0,0,0,0,1,0,0,1,1
gift,5,4,2.4134069583349424e-05,15.338569265361432,NN,NN,gift,0,2.3398500028846247,0,1,0,0,1,0,1,0,1,0,1
glad,14,4,6.757539483337838e-05,13.85314243819119,NN,NN,glad,0,1.315172029168969,0,1,0,0,1,0,1,0,0,0,1
glare,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,glare,0,2.584962500721156,1,0,0,1,0,1,0,0,0,0,-1
glee,1,4,4.826813916669885e-06,17.660497360248794,NNP,NN,glee,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
glide,1,5,4.826813916669885e-06,17.660497360248794,RB,RB,glide,0,2.584962500721156,0,1,0,0,1,0,1,0,0,0,1
glitter,2,7,9.65362783333977e-06,16.660497360248794,NN,NN,glitter,0,2.584962500721156,0,0,1,0,1,0,0,0,0,0,0
glory,8,5,3.861451133335908e-05,14.660497360248796,NN,NN,glori,0,1.315172029168969,0,1,0,0,1,0,1,0,0,1,1
glow,17,4,8.205583658338804e-05,13.573034518998456,NN,NN,glow,0,1.315172029168969,0,1,0,0,1,0,1,0,0,1,1
god,79,3,0.0003813182994169,11.356716612071692,NNP,NN,god,0,0.0,0,1,0,1,1,0,1,0,0,1,1
good,316,4,0.0015252731976676,9.356716612071692,JJ,JJ,good,0,0.0,0,1,0,0,1,0,1,0,1,1,1
goodness,1,8,4.826813916669885e-06,17.660497360248794,NNP,NN,good,0,2.584962500721156,0,1,0,0,1,0,1,0,1,1,1
gorgeous,6,8,2.8960883500019303e-05,15.07553485952764,NNP,NN,gorgeou,0,3.0,0,0,0,0,1,0,1,0,0,0,1
grab,9,4,4.344132525002896e-05,14.490572358806483,VB,VB,grab,0,2.3398500028846247,1,0,0,0,0,1,0,0,0,0,-1
graduation,2,10,9.65362783333977e-06,16.660497360248794,NN,NN,graduat,0,3.169925001442312,0,1,0,1,1,0,1,0,1,1,1
grant,4,5,1.930725566667954e-05,15.660497360248796,NNP,NN,grant,0,2.584962500721156,0,1,0,0,1,0,1,0,0,1,1
grasping,1,8,4.826813916669885e-06,17.660497360248794,VBG,VB,grasp,0,2.584962500721156,0,1,0,0,0,1,0,0,0,0,-1
grave,3,5,1.4480441750009651e-05,16.07553485952764,NN,NN,grave,0,3.169925001442312,0,0,0,1,0,1,0,1,0,0,-1
gray,5,4,2.4134069583349424e-05,15.338569265361432,JJ,JJ,gray,0,2.584962500721156,0,0,1,0,0,0,0,1,0,0,0
greatness,1,9,4.826813916669885e-06,17.660497360248794,NNP,NN,great,0,2.584962500721156,0,0,0,0,1,0,1,0,1,1,1
greed,3,5,1.4480441750009651e-05,16.07553485952764,NN,NN,greed,0,3.169925001442312,1,0,1,0,0,1,0,0,0,0,-1
greedy,5,6,2.4134069583349424e-05,15.338569265361432,NN,NN,greedi,0,3.0,0,0,1,0,0,1,0,0,0,0,-1
green,50,5,0.0002413406958334,12.01664117047407,JJ,JJ,green,0,0.0,0,0,0,0,1,0,1,0,0,1,1
grief,1,5,4.826813916669885e-06,17.660497360248794,NN,NN,grief,0,2.584962500721156,0,0,0,0,0,1,0,1,0,0,-1
grin,1,4,4.826813916669885e-06,17.660497360248794,NN,NN,grin,0,2.584962500721156,0,1,0,0,1,0,1,0,1,1,1
gross,1,5,4.826813916669885e-06,17.660497360248794,JJ,JJ,gross,0,2.584962500721156,0,0,1,0,0,1,0,0,0,0,-1
grow,17,4,8.205583658338804e-05,13.573034518998456,VB,VB,grow,0,2.3398500028846247,0,1,0,0,1,0,1,0,0,1,1
guarantee,4,9,1.930725566667954e-05,15.660497360248796,NN,NN,guarante,0,3.169925001442312,0,0,0,0,0,0,1,0,0,1,1
guard,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,guard,0,3.169925001442312,0,0,0,1,0,0,1,0,0,1,1
guidance,3,8,1.4480441750009651e-05,16.07553485952764,NN,NN,guidanc,0,2.584962500721156,0,0,0,0,0,0,1,0,0,1,1
guide,9,5,4.344132525002896e-05,14.490572358806483,VB,VB,guid,0,3.0,0,0,0,0,0,0,1,0,0,1,1
guilt,2,5,9.65362783333977e-06,16.660497360248794,NN,NN,guilt,0,3.169925001442312,0,0,1,0,0,1,0,1,0,0,-1
guilty,1,6,4.826813916669885e-06,17.660497360248794,JJ,JJ,guilti,0,2.584962500721156,1,0,0,0,0,1,0,1,0,0,-1
gun,42,3,0.0002027261845001,12.268179937470034,NN,NN,gun,0,0.0,1,0,0,1,0,1,0,0,0,0,-1
hail,4,4,1.930725566667954e-05,15.660497360248796,VBP,VB,hail,0,3.169925001442312,0,0,0,0,0,1,1,0,0,1,0
hanging,22,7,0.0001061899061667,13.201065741611496,VBG,VB,hang,0,1.315172029168969,1,0,1,1,0,1,0,1,0,0,-1
hangman,1,7,4.826813916669885e-06,17.660497360248794,NN,NN,hangman,0,2.584962500721156,0,0,0,1,0,1,0,0,0,0,-1
hap,2,3,9.65362783333977e-06,16.660497360248794,NN,NN,hap,0,2.584962500721156,0,1,0,0,0,0,0,0,1,0,0
happily,1,7,4.826813916669885e-06,17.660497360248794,RB,RB,happili,0,2.584962500721156,0,0,0,0,1,0,1,0,0,0,1
happiness,11,9,5.309495308336873e-05,14.201065741611496,NNP,NN,happi,0,3.0,0,1,0,0,1,0,1,0,0,0,1
happy,122,5,0.0005888712978337,10.729760022685907,JJ,JJ,happi,0,0.0,0,1,0,0,1,0,1,0,0,1,1
harm,9,4,4.344132525002896e-05,14.490572358806483,NN,NN,harm,0,3.169925001442312,0,0,0,1,0,1,0,0,0,0,-1
harmony,2,7,9.65362783333977e-06,16.660497360248794,NN,NN,harmoni,0,3.169925001442312,0,0,0,0,1,0,1,0,0,1,1
harry,4,5,1.930725566667954e-05,15.660497360248796,NNP,NN,harri,0,3.0,1,0,0,0,0,1,0,1,0,0,-1
hate,94,4,0.0004537205081669,11.105908508571158,VBP,VB,hate,0,1.315172029168969,1,0,1,1,0,1,0,1,0,0,-1
haunt,4,5,1.930725566667954e-05,15.660497360248796,NN,NN,haunt,0,3.0,0,0,0,1,0,1,0,0,0,0,-1
haunted,8,7,3.861451133335908e-05,14.660497360248796,VBN,VB,haunt,0,3.169925001442312,0,0,0,1,0,1,0,1,0,0,-1
hazardous,1,9,4.826813916669885e-06,17.660497360248794,JJ,JJ,hazard,0,2.584962500721156,0,0,0,1,0,1,0,0,0,0,-1
haze,6,4,2.8960883500019303e-05,15.07553485952764,NN,NN,haze,0,3.0,0,0,0,1,0,1,0,0,0,0,-1
